Last_Name,First_Name,Middle_Name,Suffix,Birth_Month,Birth_Day,Birth_Year,Birth_City,Birth_State,Death_Month,Death_Day,Death_Year,Death_City,Death_State,Gender,Race_or_Ethnicity,Court_Type_1,Court_Name_1,Appointment_Title_1,Appointing_President_1,Party_of_Appointing_President_1,ABA_Rating_1,Recess_Appointment_Date_1,Nomination_Date_1,Committee_Referral_Date_1,Hearing_Date_1,Judiciary_Committee_Action_1,Committee_Action_Date_1,Senate_Vote_Type_1,Ayes_n_Nays_1,Confirmation_Date_1,Commission_Date_1,Senior_Status_Date_1,Termination_1,Termination_Date_1,School_1,Degree_1,Degree_Year_1,School_2,Degree_2,Degree_Year_2,School_3,Degree_3,Degree_Year_3,School_4,Degree_4,Degree_Year_4,School_5,Degree_5,Degree_Year_5,Birth_Date,Death_Date,Full_Name,Appointing_President_Num_1,Appointing_President_State_1,Court_Circuit_1,Court_Abbrev_Bluebook_1,Court_Abbrev_Website_1,Court_State_1,Court_Code,Vacancy_Reason,Filings_Per_Seat_Weighted,Filings_Per_Panel_Adjusted,Vacancy_Date,Vacancy_Duration_ATSCRAPE,Seat_Code_1,Other_Nomination,Other_Rejection,Confirmation_Duration_Total,Service_Duration_1,Service_Duration_2,Appointment_Age_1,Appointment_Age_Earliest
Hollander,Ellen,Lipton, ,9,30,1949,New York,NY,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,Barack Obama,Democratic,Well Qualified,,2010-04-21,2010-04-21,2010-05-13,Reported (favorably),2010-06-10,Roll Call, 95/0,2010-12-18,2010-12-28,,,,Goucher College,B.A.,1971-01-01,Georgetown University Law Center,J.D.,1974-01-01,,,,,,,,,,1949-09-30,1677-09-30,Ellen Lipton Hollander,44,IL,4,D. Md.,04 - MD,MD,,,,,,,04-MD-04,,,241 days 00:00:00.000000000,,,60.557027180571815,60.557027180571815
Xinis,Paula, , ,9,30,1968,Mineola,NY,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,Barack Obama,Democratic,Well Qualified,,2015-03-26,2015-03-26,2015-07-22,Reported (favorably),2015-09-17,Roll Call, 53/34,2016-05-16,2016-05-18,,,,University of Virginia,B.A.,1991-01-01,Yale Law School,J.D.,1997-01-01,,,,,,,,,,1968-09-30,1677-09-30,Paula Xinis,44,IL,4,D. Md.,04 - MD,MD,,,,,,,04-MD-05,,,417 days 00:00:00.000000000,,,46.48418516465088,46.48418516465088
Grimm,Paul,William, ,9,30,1951,Yokohama,Japan,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,Barack Obama,Democratic,Well Qualified,,2012-02-16,2012-02-16,2012-05-09,Reported (favorably),2012-06-07,Roll Call, 92/1,2012-12-03,2012-12-06,,,,"University of California, Davis",B.A.,1973-01-01,University of New Mexico School of Law,J.D.,1976-01-01,,,,,,,,,,1951-09-30,1677-09-30,Paul William Grimm,44,IL,4,D. Md.,04 - MD,MD,,,,,,,04-MD-06,,,291 days 00:00:00.000000000,,,60.38180113212455,60.38180113212455
Hazel,George,Jarrod, ,9,30,1975,New York,NY,9,30,1677, , ,Male,AfriAmerican,U.S. District Court,U.S. District Court for the District of Maryland,Judge,Barack Obama,Democratic,Qualified,,2014-01-06,2014-01-06,,Reported (favorably),2014-01-16,Roll Call, 95/0,2014-05-01,2014-05-02,,,,Morehouse College,B.A.,1996-01-01,Georgetown University Law Center,J.D.,1999-01-01,,,,,,,,,,1975-09-30,1677-09-30,George Jarrod Hazel,44,IL,4,D. Md.,04 - MD,MD,,,,,,,04-MD-08,"['Nominated to U.S. District Court for the District of Maryland, September 25, 2013']",[],115 days 00:00:00.000000000,,,38.27046414368536,38.27046414368536
Russell,George,Levi,III,9,30,1965,Baltimore,MD,9,30,1677, , ,Male,AfriAmerican,U.S. District Court,U.S. District Court for the District of Maryland,Judge,Barack Obama,Democratic,Qualified,,2011-11-10,2011-11-10,2012-01-26,Reported (favorably),2012-02-16,Voice,  ,2012-05-14,2012-05-22,,,,Morehouse College,B.A.,1988-01-01,University of Maryland School of Law,J.D.,1991-01-01,,,,,,,,,,1965-09-30,1677-09-30,"George Levi Russell, III",44,IL,4,D. Md.,04 - MD,MD,,,,,,,04-MD-09,,,186 days 00:00:00.000000000,,,46.111829811700446,46.111829811700446
Bredar,James,Kelleher, ,9,30,1957,Omaha,NE,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,Barack Obama,Democratic,Well Qualified,,2010-04-21,2010-04-21,2010-05-13,Reported (favorably),2010-06-10,Voice,  ,2010-12-16,2010-12-17,,,,Harvard University,B.A.,1979-01-01,Georgetown University Law Center,J.D.,1982-01-01,,,,,,,,,,1957-09-30,1677-09-30,James Kelleher Bredar,44,IL,4,D. Md.,04 - MD,MD,,,,,,,04-MD-11,,,239 days 00:00:00.000000000,,,52.556862906151395,52.556862906151395
Norton,David,C., ,9,30,1946,Washington,DC,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,George H.W. Bush,Republican,Well Qualified,,1990-04-18,1990-04-19,1990-06-11,Reported (favorably),1990-06-27,Voice,  ,1990-06-28,1990-07-12,,,,University of the South,B.A.,1968-01-01,University of South Carolina School of Law,J.D.,1975-01-01,,,,,,,,,,1946-09-30,1677-09-30,David C. Norton,41,TX,4,D.S.C.,04 - SC,SC,,,,,,,04-SC-05,,,71 days 00:00:00.000000000,,,43.5491488531592,43.5491488531592
Harwell,Robert,Bryan, ,9,30,1959,Florence,SC,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,George W. Bush,Republican,Qualified,,2004-01-20,2004-01-20,2004-04-08,Reported (favorably),2004-04-29,Voice,  ,2004-06-24,2004-06-30,,,,Clemson University,B.A.,1980-01-01,University of South Carolina School of Law,J.D.,1982-01-01,,,,,,,,,,1959-09-30,1677-09-30,Robert Bryan Harwell,43,TX,4,D.S.C.,04 - SC,SC,,,,,,,04-SC-09,,,156 days 00:00:00.000000000,,,44.307549094095016,44.307549094095016
Childs,Julianna,Michelle, ,9,30,1966,Detroit,MI,9,30,1677, , ,Female,AfriAmerican,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Barack Obama,Democratic,Well Qualified,,2009-12-22,2009-12-22,2010-04-16,Reported (favorably),2010-05-06,Voice,  ,2010-08-05,2010-08-20,,,,University of South Florida,B.S.,1988-01-01,University of South Carolina School of Law,J.D.,1991-01-01,University of South Carolina School of Business,M.A.,1991-01-01,,,,,,,1966-09-30,1677-09-30,Julianna Michelle Childs,44,IL,4,D.S.C.,04 - SC,SC,,,,,,,04-SC-02,,,226 days 00:00:00.000000000,,,43.228813733341546,43.228813733341546
Lewis,Mary,Geiger, ,9,30,1958,Columbia,SC,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Barack Obama,Democratic,Qualified,,2011-03-16,2011-03-16,2012-02-15,Reported (favorably),2012-03-08,Roll Call, 64/27,2012-06-18,2012-06-20,,,,Clemson University,B.A.,1980-01-01,University of South Carolina School of Law,J.D.,1984-01-01,,,,,,,,,,1958-09-30,1677-09-30,Mary Geiger Lewis,44,IL,4,D.S.C.,04 - SC,SC,,,,,,,04-SC-03,,,460 days 00:00:00.000000000,,,52.458298253899805,52.458298253899805
Hendricks,Bruce,Howe, ,9,30,1957,Charleston,SC,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Barack Obama,Democratic,Well Qualified,,2014-01-06,2014-01-06,2014-02-11,Reported (favorably),2014-03-06,Roll Call, 95/0,2014-06-04,2014-06-05,,,,College of Charleston,B.A.,1983-01-01,University of South Carolina School of Law,J.D.,1990-01-01,,,,,,,,,,1957-09-30,1677-09-30,Bruce Howe Hendricks,44,IL,4,D.S.C.,04 - SC,SC,,,,,,,04-SC-06,"['Nominated to U.S. District Court for the District of South Carolina, June 26, 2013']",[],149 days 00:00:00.000000000,,,56.269464807627806,56.269464807627806
Cain,Timothy,Martin, ,9,30,1961,Seneca,SC,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Barack Obama,Democratic,Qualified,,2011-02-16,2011-02-16,2011-05-04,Reported (favorably),2011-05-26,Roll Call, 99/0,2011-09-20,2011-09-26,,,,University of South Carolina,B.S.,1983-01-01,University of South Carolina School of Law,J.D.,1986-01-01,,,,,,,,,,1961-09-30,1677-09-30,Timothy Martin Cain,44,IL,4,D.S.C.,04 - SC,SC,,,,,,,04-SC-07,,,216 days 00:00:00.000000000,,,49.38089077804472,49.38089077804472
Gergel,Richard,Mark, ,9,30,1954,Columbia,SC,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Barack Obama,Democratic,Well Qualified,,2009-12-22,2009-12-22,2010-04-16,Reported (favorably),2010-05-06,Voice,  ,2010-08-05,2010-08-09,,,,Duke University,B.A.,1975-01-01,Duke University School of Law,J.D.,1979-01-01,,,,,,,,,,1954-09-30,1677-09-30,Richard Mark Gergel,44,IL,4,D.S.C.,04 - SC,SC,,,,,,,04-SC-10,,,226 days 00:00:00.000000000,,,55.22906014497217,55.22906014497217
Coggins,Donald,Cecil,Jr.,9,30,1959,Spartanburg,SC,9,30,1677,,,Male,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Donald J. Trump,Republican,Well Qualified,,2017-08-03,2017-08-03,,Reported (favorably),2017-09-14,Roll Call, 96/0,2017-11-16,2017-11-20,,,,Clemson University,B.A.,1981-01-01,University of South Carolina School of Law,J.D.,1984-01-01,,,,,,,,,,1959-09-30,1677-09-30,"Donald Cecil Coggins, Jr.",45,NY,4,D.S.C.,04 - SC,SC,,,,,,,04-SC-04,"['Nominated to U.S. District Court for the District of South Carolina, February 25, 2016']",[],105 days 00:00:00.000000000,,,57.8437613366462,57.8437613366462
Reiss,Christina,Clair, ,9,30,1962,Denver,CO,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the District of Vermont,Judge,Barack Obama,Democratic,Well Qualified,,2009-10-13,2009-10-13,2009-11-04,Reported (favorably),2009-11-19,Voice,  ,2009-11-21,2009-12-21,,,,St. Michael`s College,B.A.,1984-01-01,University of Arizona College of Law,J.D.,1989-01-01,,,,,,,,,,1962-09-30,1677-09-30,Christina Clair Reiss,44,IL,2,D. Vt.,02 - VT,VT,,,,,,,02-VT-01,,,39 days 00:00:00.000000000,,,47.03724238006256,47.03724238006256
Crawford,Geoffrey,William, ,9,30,1954,Ann Arbor,MI,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Vermont,Judge,Barack Obama,Democratic,Well Qualified,,2014-05-20,2014-05-20,2014-06-04,Reported (favorably),2014-06-12,Roll Call, 95/0,2014-06-24,2014-08-04,,,,Yale University,B.A.,1977-01-01,Harvard Law School,J.D.,1980-01-01,,,,,,,,,,1954-09-30,1677-09-30,Geoffrey William Crawford,44,IL,2,D. Vt.,02 - VT,VT,,,,,,,02-VT-02,,,35 days 00:00:00.000000000,,,59.63709042622367,59.63709042622367
Autrey,Henry,Edward, ,9,30,1952,Mobile,AL,9,30,1677, , ,Male,AfriAmerican,U.S. District Court,U.S. District Court for the Eastern District of Missouri,Judge,George W. Bush,Republican,Qualified,,2002-03-21,2002-03-21,2002-05-23,Reported (favorably),2002-06-13,Roll Call, 98/0,2002-08-01,2002-08-02,,,,St. Louis University,B.S.,1974-01-01,St. Louis University School of Law,J.D.,1977-01-01,,,,,,,,,,1952-09-30,1677-09-30,Henry Edward Autrey,43,TX,8,E.D. Mo.,08 - MO-E,MO,,,,,,,08-MO-E-07,,,133 days 00:00:00.000000000,,,49.47124170927535,49.47124170927535
Limbaugh,Stephen,Nathaniel,Jr.,9,30,1952,Cape Girardeau,MO,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the Eastern District of Missouri,Judge,George W. Bush,Republican,Well Qualified,,2007-12-06,2007-12-06,2008-04-03,Reported (favorably),2008-04-24,Voice,  ,2008-06-10,2008-08-01,,,,Southern Methodist University,B.A.,1973-01-01,Southern Methodist University School of Law,J.D.,1976-01-01,University of Virginia School of Law,LL.M.,1998-01-01,,,,,,,1952-09-30,1677-09-30,"Stephen Nathaniel Limbaugh, Jr.",43,TX,8,E.D. Mo.,08 - MO-E,MO,,,,,,,08-MO-E-08,,,187 days 00:00:00.000000000,,,55.18251572585337,55.18251572585337
Fleissig,Audrey,Goldstein, ,9,30,1955,St. Louis,MO,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the Eastern District of Missouri,Judge,Barack Obama,Democratic,Well Qualified,,2010-01-20,2010-01-20,2010-02-11,Reported (favorably),2010-03-04,Roll Call, 90/0,2010-06-07,2010-06-09,,,,Carleton College,B.A.,1976-01-01,Washington University School of Law,J.D.,1980-01-01,,,,,,,,,,1955-09-30,1677-09-30,Audrey Goldstein Fleissig,44,IL,8,E.D. Mo.,08 - MO-E,MO,,,,,,,08-MO-E-02,,,138 days 00:00:00.000000000,,,54.30912339062404,54.30912339062404
White,Ronnie,Lee, ,9,30,1953,St. Louis,MO,9,30,1677, , ,Male,AfriAmerican,U.S. District Court,U.S. District Court for the Eastern District of Missouri,Judge,Barack Obama,Democratic,Qualified,,2014-01-06,2014-01-06,2014-05-20,Reported (favorably),2014-06-19,Roll Call, 53/44,2014-07-16,2014-07-17,,,,St. Louis Community College,A.A.,1977-01-01,St. Louis University,B.A.,1979-01-01,University of Missouri-Kansas City School of Law,J.D.,1983-01-01,,,,,,,1953-09-30,1677-09-30,Ronnie Lee White,44,IL,8,E.D. Mo.,08 - MO-E,MO,,,,,,,08-MO-E-05,"['Nominated to U.S. District Court for the Eastern District of Missouri, June 26, 1997; no Senate vote; Nominated to U.S. District Court for the Eastern District of Missouri, January 26, 1999; rejected by Senate, October 5, 1999; Nominated to U.S. District Court for the Eastern District of Missouri, November 7, 2013']","['rejected by Senate, October 5, 1999; Nominated to U.S. District Court for the Eastern District of Missouri, November 7, 2013']",191 days 00:00:00.000000000,,,60.26954694483802,60.26954694483802
Ross,John,Andrew, ,9,30,1954,St. Louis,MO,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the Eastern District of Missouri,Judge,Barack Obama,Democratic,Well Qualified,,2011-01-05,2011-01-05,2011-05-04,Reported (favorably),2011-05-26,Voice,  ,2011-09-20,2011-10-11,,,,Emory University,B.A.,1976-01-01,Emory University School of Law,J.D.,1979-01-01,,,,,,,,,,1954-09-30,1677-09-30,John Andrew Ross,44,IL,8,E.D. Mo.,08 - MO-E,MO,,,,,,,08-MO-E-09,"['Nominated to U.S. District Court for the Eastern District of Missouri, December 1, 2010']",[],258 days 00:00:00.000000000,,,56.26672690062082,56.26672690062082
Clark,Stephen,Robert,Sr.,9,30,1966,Evanston,IL,9,30,1677,,,Male,White,U.S. District Court,U.S. District Court for the Eastern District of Missouri,Judge,Donald J. Trump,Republican,Well Qualified,,2019-01-23,2019-01-23,,Reported (favorably),2019-02-07,Roll Call, 53/45,2019-05-22,2019-06-12,,,,University of Notre Dame,B.A.,1988-01-01,St. Louis University School of Law,J.D.,1991-01-01,,,,,,,,,,1966-09-30,1677-09-30,"Stephen Robert Clark, Sr.",45,NY,8,E.D. Mo.,08 - MO-E,MO,,,,,,,08-MO-E-06,"['Nominated to U.S. District Court for the Eastern District of Missouri, April 12, 2018']",[],119 days 00:00:00.000000000,,,52.3159270895364,52.3159270895364
Rodgers,Margaret,Catharine, ,9,30,1964,Pensacola,FL,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the Northern District of Florida,Judge,George W. Bush,Republican,Well Qualified,,2003-07-14,2003-07-14,2003-09-17,Reported (favorably),2003-10-02,Roll Call, 82/0,2003-10-20,2003-11-21,,,,University of West Florida,B.A.,1989-01-01,California Western School of Law,J.D.,1992-01-01,,,,,,,,,,1964-09-30,1677-09-30,Margaret Catharine Rodgers,43,TX,10,N.D. Fla.,10 - FL-N,FL,,,,,,,10-FL-N-06,,,98 days 00:00:00.000000000,,,38.7851906609992,38.7851906609992
Walker,Mark,Eaton, ,9,30,1967,Winter Garden,FL,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the Northern District of Florida,Judge,Barack Obama,Democratic,Well Qualified,,2012-02-16,2012-02-16,2012-05-09,Reported (favorably),2012-06-07,Roll Call, 94/0,2012-12-06,2012-12-07,,,,University of Florida,B.A.,1989-01-01,University of Florida College of Law,J.D.,1992-01-01,,,,,,,,,,1967-09-30,1677-09-30,Mark Eaton Walker,44,IL,10,N.D. Fla.,10 - FL-N,FL,,,,,,,10-FL-N-04,,,294 days 00:00:00.000000000,,,44.38147258328371,44.38147258328371
Winsor,Allen,Cothrel,,9,30,1976,Orlando,FL,9,30,1677,,,Male,White,U.S. District Court,U.S. District Court for the Northern District of Florida,Judge,Donald J. Trump,Republican,Well Qualified,,2019-01-23,2019-01-23,,Reported (favorably),2019-02-07,Roll Call, 54/44,2019-06-19,2019-06-21,,,,Auburn University,B.S.B.A.,1997-01-01,University of Florida College of Law,J.D.,2002-01-01,,,,,,,,,,1976-09-30,1677-09-30,,45,NY,10,N.D. Fla.,10 - FL-N,FL,,,,,,,10-FL-N-02,"['Nominated to U.S. District Court for the Northern District of Florida, April 10, 2018']",[],147 days 00:00:00.000000000,,,42.31435279300739,42.31435279300739
Lioi,Sara,Elizabeth, ,9,30,1960,Canton,OH,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the Northern District of Ohio,Judge,George W. Bush,Republican,Well Qualified,,2007-01-09,2007-01-09,,Reported (favorably),2007-02-08,Voice,  ,2007-03-08,2007-03-14,,,,Bowling Green State University,B.A.,1983-01-01,Ohio State University College of Law,J.D.,1987-01-01,,,,,,,,,,1960-09-30,1677-09-30,Sara Elizabeth Lioi,43,TX,6,N.D. Ohio,06 - OH-N,OH,,,,,,,06-OH-N-08,"['Nominated to U.S. District Court for the Northern District of Ohio, July 13, 2006']",[],58 days 00:00:00.000000000,,,46.276104232119756,46.276104232119756
Adams,John,R., ,9,30,1955,Orrville,OH,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the Northern District of Ohio,Judge,George W. Bush,Republican,Qualified,,2003-01-07,2003-01-07,2003-01-29,Reported (favorably),2003-02-06,Roll Call, 91/0,2003-02-10,2003-02-12,,,,Bowling Green State University,B.S.,1978-01-01,University of Akron School of Law,J.D.,1983-01-01,,,,,,,,,,1955-09-30,1677-09-30,John R. Adams,43,TX,6,N.D. Ohio,06 - OH-N,OH,,,,,,,06-OH-N-11,"['Nominated to U.S. District Court for the Northern District of Ohio, October 10, 2002']",[],34 days 00:00:00.000000000,,,47.272702382663574,47.272702382663574
Boyko,Christopher,A., ,9,30,1954,Cleveland,OH,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the Northern District of Ohio,Judge,George W. Bush,Republican,Well Qualified,,2004-07-22,2004-07-22,2004-09-22,Reported (favorably),2004-10-04,Voice,  ,2004-11-21,2005-01-03,,,,Mount Union College,B.A.,1976-01-01,"Cleveland State University, Cleveland-Marshall College of Law",J.D.,1979-01-01,,,,,,,,,,1954-09-30,1677-09-30,Christopher A. Boyko,43,TX,6,N.D. Ohio,06 - OH-N,OH,,,,,,,06-OH-N-14,,,122 days 00:00:00.000000000,,,49.81074217814192,49.81074217814192
Polster,Dan,A., ,9,30,1951,Cleveland,OH,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the Northern District of Ohio,Judge,William J. Clinton,Democratic,Well Qualified,,1997-07-31,1997-07-31,1998-06-18,Reported (favorably),1998-06-25,Voice,  ,1998-07-31,1998-08-03,,,,Harvard College,A.B.,1972-01-01,Harvard Law School,J.D.,1976-01-01,,,,,,,,,,1951-09-30,1677-09-30,Dan A. Polster,42,AK,6,N.D. Ohio,06 - OH-N,OH,,,,,,,06-OH-N-06,,,365 days 00:00:00.000000000,,,45.835301203994604,45.835301203994604
