Name,Region Type,Region Type Alternatve,ISO 3166-1 alpha-2,ISO 3166-1 alpha-2,ISO 3166-1 alpha-3,ISO 3166-1 numeric-3,ANSI 2-letter,ANSI 2-digit,USPS,USCG,GPO,AP
New York,State,State,US-NY,US-NY,US-NY,US-NY,NY,36,NY,NY,N.Y.,N.Y.
North Carolina,State,State,US-NC,US-NC,US-NC,US-NC,NC,37,NC,NC,N.C.,N.C.
North Dakota,State,State,US-ND,US-ND,US-ND,US-ND,ND,38,ND,ND,N.Dak.,N.D.
Ohio,State,State,US-OH,US-OH,US-OH,US-OH,OH,39,OH,OH,Ohio,Ohio
Oklahoma,State,State,US-OK,US-OK,US-OK,US-OK,OK,40,OK,OK,Okla.,Okla.
Oregon,State,State,US-OR,US-OR,US-OR,US-OR,OR,41,OR,OR,Oreg.,Ore.
Pennsylvania,State,Commonwealth,US-PA,US-PA,US-PA,US-PA,PA,42,PA,PA,Pa.,Pa.
Rhode Island,State,State,US-RI,US-RI,US-RI,US-RI,RI,44,RI,RI,R.I.,R.I.
South Carolina,State,State,US-SC,US-SC,US-SC,US-SC,SC,45,SC,SC,S.C.,S.C.
South Dakota,State,State,US-SD,US-SD,US-SD,US-SD,SD,46,SD,SD,S.Dak.,S.D.
Tennessee,State,State,US-TN,US-TN,US-TN,US-TN,TN,47,TN,TN,Tenn.,Tenn.
Texas,State,State,US-TX,US-TX,US-TX,US-TX,TX,48,TX,TX,Tex.,Texas
Utah,State,State,US-UT,US-UT,US-UT,US-UT,UT,49,UT,UT,Utah,Utah
Vermont,State,State,US-VT,US-VT,US-VT,US-VT,VT,50,VT,VT,Vt.,Vt.
Virginia,State,Commonwealth,US-VA,US-VA,US-VA,US-VA,VA,51,VA,VA,Va.,Va.
Washington,State,State,US-WA,US-WA,US-WA,US-WA,WA,53,WA,WN,Wash.,Wash.
West Virginia,State,State,US-WV,US-WV,US-WV,US-WV,WV,54,WV,WV,W.Va.,W.Va.
Wisconsin,State,State,US-WI,US-WI,US-WI,US-WI,WI,55,WI,WS,Wis.,Wis.
Wyoming,State,State,US-WY,US-WY,US-WY,US-WY,WY,56,WY,WY,Wyo.,Wyo.
American Samoa,Insular area,Territory,US-AS,AS,ASM,16,AS,60,AS,AS,A.S.,American Samoa
Guam,Insular area,Territory,US-GU,GU,GUM,316,GU,66,GU,GU,Guam,Guam
Northern Mariana Islands,Insular area,Commonwealth,US-MP,MP,MNP,580,MP,69,MP,CM,M.P.,Puerto Rico
Puerto Rico,Insular area,Territory,US-PR,PR,PRI,630,PR,72,PR,PR,P.R.,U.S. Virgin Islands
U.S. Virgin Islands,Insular area,Territory,US-VI,VI,VIR,850,VI,78,VI,VI,V.I.,
U.S. Minor Outlying Islands,Insular areas,Insular areas,US-UM,UM,UMI,581,UM,74,,,,
Baker Island,island,island,UM-81,UM-81,UM-81,UM-81,,81,,,,
Howland Island,island,island,UM-84,UM-84,UM-84,UM-84,,84,,,,
Jarvis Island,island,island,UM-86,UM-86,UM-86,UM-86,,86,,,,
Johnston Atoll,atoll,atoll,UM-67,UM-67,UM-67,UM-67,,67,,,,
Kingman Reef,atoll,atoll,UM-89,UM-89,UM-89,UM-89,,89,,,,
Midway Islands,atoll,atoll,UM-71,UM-71,UM-71,UM-71,,71,,,,
Navassa Island,island,island,UM-76,UM-76,UM-76,UM-76,,76,,,,
Palmyra Atoll,atoll,atoll,UM-95,UM-95,UM-95,UM-95,,95,,,,
Wake Island,atoll,atoll,UM-79,UM-79,UM-79,UM-79,,79,,,,
Micronesia,Freely associated state,Freely associated state,FM,FM,FSM,583,FM,64,FM,,,
Marshall Islands,Freely associated state,Freely associated state,MH,MH,MHL,584,MH,68,MH,,,
Palau,Freely associated state,Freely associated state,PW,PW,PLW,585,PW,70,PW,,,
U.S. Armed Forces -- Americas,US military mail code,US military mail code,,,,,,,AA,,,
U.S. Armed Forces -- Europe,US military mail code,US military mail code,,,,,,,AE,,,
U.S. Armed Forces -- Pacific,US military mail code,US military mail code,,,,,,,AP,,,
