Last_Name,First_Name,Middle_Name,Suffix,Birth_Month,Birth_Day,Birth_Year,Birth_City,Birth_State,Death_Month,Death_Day,Death_Year,Death_City,Death_State,Gender,Race_or_Ethnicity,Court_Type_1,Court_Name_1,Appointment_Title_1,Appointing_President_1,Party_of_Appointing_President_1,ABA_Rating_1,Recess_Appointment_Date_1,Nomination_Date_1,Committee_Referral_Date_1,Hearing_Date_1,Judiciary_Committee_Action_1,Committee_Action_Date_1,Senate_Vote_Type_1,Ayes_n_Nays_1,Confirmation_Date_1,Commission_Date_1,Senior_Status_Date_1,Termination_1,Termination_Date_1,School_1,Degree_1,Degree_Year_1,School_2,Degree_2,Degree_Year_2,School_3,Degree_3,Degree_Year_3,School_4,Degree_4,Degree_Year_4,School_5,Degree_5,Degree_Year_5,Birth_Date,Death_Date,Full_Name,Appointing_President_Num_1,Appointing_President_State_1,Court_Circuit_1,Court_Abbrev_Bluebook_1,Court_Abbrev_Website_1,Court_State_1,Court_Code,Vacancy_Reason,Filings_Per_Seat_Weighted,Filings_Per_Panel_Adjusted,Vacancy_Date,Vacancy_Duration_ATSCRAPE,Seat_Code_1,Other_Nomination,Other_Rejection,Confirmation_Duration_Total,Service_Duration_1,Service_Duration_2,Appointment_Age_1,Appointment_Age_Earliest
Meyer,Jeffrey,Alker, ,9,30,1963,North Tarrytown,NY,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,Barack Obama,Democratic,Well Qualified,,2014-01-06,2014-01-06,,Reported (favorably),2014-01-16,Roll Call, 91/2,2014-02-24,2014-02-25,,,,Yale College,B.A.,1985-01-01,Yale Law School,J.D.,1989-01-01,,,,,,,,,,1963-09-30,1677-09-30,Jeffrey Alker Meyer,44,IL,2,D. Conn.,02 - CT,CT,,,,,,,02-CT-07,"['Nominated to U.S. District Court for the District of Connecticut, June 7, 2013']",[],49 days 00:00:00.000000000,,,50.270710555315986,50.270710555315986
Dooley,Kari,Anne,,9,30,1963,New York,NY,9,30,1677,,,Female,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,Donald J. Trump,Republican,Well Qualified,,2017-12-20,2017-12-20,2018-03-07,Reported (favorably),2018-04-19,Voice,,2018-09-06,2018-09-13,,,,Cornell University,B.A.,1985-01-01,University of Connecticut School of Law,J.D.,1988-01-01,,,,,,,,,,1963-09-30,1677-09-30,,45,NY,2,D. Conn.,02 - CT,CT,,,,,,,02-CT-05,,,260 days 00:00:00.000000000,,,54.22424827340739,54.22424827340739
Eginton,Warren,William, ,9,30,1924,Brooklyn,NY,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,Jimmy Carter,Democratic,Well Qualified,,1979-06-05,1979-06-05,1979-07-09,Reported (favorably),1979-07-17,Voice,  ,1979-07-23,1979-07-24,1992-08-01,,,Princeton University,A.B.,1948-01-01,Yale Law School,LL.B.,1951-01-01,,,,,,,,,,1924-09-30,1677-09-30,Warren William Eginton,39,GA,2,D. Conn.,02 - CT,CT,,,,,1992-08-01,9835 days 01:27:23.045008000,02-CT-05,,,48 days 00:00:00.000000000,4757 days 00:00:00.000000000,,54.678740836567485,54.678740836567485
Nickerson,William,M., ,9,30,1933,Baltimore,MD,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,George H.W. Bush,Republican,Well Qualified,,1990-01-24,1990-01-24,1990-04-26,Reported (favorably),1990-05-10,Voice,  ,1990-05-11,1990-05-14,2002-06-11,,,University of Virginia,B.A.,1955-01-01,University of Maryland School of Law,LL.B.,1962-01-01,,,,,,,,,,1933-09-30,1677-09-30,William M. Nickerson,41,TX,4,D. Md.,04 - MD,MD,,,,,2002-06-11,6234 days 01:27:23.045008000,04-MD-02,,,107 days 00:00:00.000000000,4411 days 00:00:00.000000000,,56.318747133753604,56.318747133753604
Bennett,Richard,D., ,9,30,1947,Baltimore,MD,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,George W. Bush,Republican,Well Qualified,,2003-01-29,2003-01-29,2003-03-27,Reported (favorably),2003-04-03,Roll Call, 99/0,2003-04-09,2003-04-10,,,,University of Pennsylvania,B.A.,1969-01-01,University of Maryland School of Law,J.D.,1973-01-01,,,,,,,,,,1947-09-30,1677-09-30,Richard D. Bennett,43,TX,4,D. Md.,04 - MD,MD,,,,,,,04-MD-07,,,70 days 00:00:00.000000000,,,55.33310061123774,55.33310061123774
Motz,J.,Frederick, ,9,30,1942,Baltimore,MD,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,Ronald Reagan,Republican,Well Qualified,,1985-04-23,1985-04-23,1985-05-22,Reported (favorably),1985-06-07,Voice,  ,1985-07-11,1985-07-12,2010-12-17,,,Wesleyan University,A.B.,1964-01-01,University of Virginia School of Law,LL.B.,1967-01-01,,,,,,,,,,1942-09-30,1677-09-30,J. Frederick Motz,40,CA,4,D. Md.,04 - MD,MD,,,,,2010-12-17,3123 days 01:27:23.045008000,04-MD-11,,,79 days 00:00:00.000000000,9289 days 00:00:00.000000000,,42.56350233064334,42.56350233064334
Chasanow,Deborah,K., ,9,30,1948,Washington,DC,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,William J. Clinton,Democratic,Well Qualified,,1993-08-06,1993-08-06,1993-10-07,Reported (favorably),1993-10-14,Voice,  ,1993-10-18,1993-10-20,2014-10-03,,,Rutgers University,B.A.,1970-01-01,Stanford Law School,J.D.,1974-01-01,,,,,,,,,,1948-09-30,1677-09-30,Deborah K. Chasanow,42,AK,4,D. Md.,04 - MD,MD,,,,,2014-10-03,1737 days 01:27:23.045008000,04-MD-05,,,73 days 00:00:00.000000000,7653 days 00:00:00.000000000,,44.84965468147875,44.84965468147875
Messitte,Peter,Jo, ,9,30,1941,Washington,DC,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,William J. Clinton,Democratic,Well Qualified,,1993-08-06,1993-08-06,1993-10-07,Reported (favorably),1993-10-14,Voice,  ,1993-10-18,1993-10-20,2008-09-01,,,Amherst College,B.A.,1963-01-01,University of Chicago Law School,J.D.,1966-01-01,,,,,,,,,,1941-09-30,1677-09-30,Peter Jo Messitte,42,AK,4,D. Md.,04 - MD,MD,,,,,2008-09-01,3960 days 01:27:23.045008000,04-MD-09,,,73 days 00:00:00.000000000,5430 days 00:00:00.000000000,,51.85048289834836,51.85048289834836
Blake,Catherine,C., ,9,30,1950,Boston,MA,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,William J. Clinton,Democratic,Well Qualified,,1995-05-04,1995-05-04,1995-07-18,Reported (favorably),1995-07-28,Voice,  ,1995-08-11,1995-08-14,,,,Radcliffe College,A.B.,1972-01-01,Harvard Law School,J.D.,1975-01-01,,,,,,,,,,1950-09-30,1677-09-30,Catherine C. Blake,42,AK,4,D. Md.,04 - MD,MD,,,,,,,04-MD-10,,,99 days 00:00:00.000000000,,,44.59229142282182,44.59229142282182
Chuang,Theodore,David, ,9,30,1969,Media,PA,9,30,1677, , ,Male,Asian American,U.S. District Court,U.S. District Court for the District of Maryland,Judge,Barack Obama,Democratic,Well Qualified,,2014-01-06,2014-01-06,,Reported (favorably),2014-01-16,Roll Call, 53/42,2014-05-01,2014-05-02,,,,Harvard College,B.A.,1991-01-01,Harvard Law School,J.D.,1994-01-01,,,,,,,,,,1969-09-30,1677-09-30,Theodore David Chuang,44,IL,4,D. Md.,04 - MD,MD,,,,,,,04-MD-03,"['Nominated to U.S. District Court for the District of Maryland, September 25, 2013']",[],115 days 00:00:00.000000000,,,44.26921839599718,44.26921839599718
Hollander,Ellen,Lipton, ,9,30,1949,New York,NY,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,Barack Obama,Democratic,Well Qualified,,2010-04-21,2010-04-21,2010-05-13,Reported (favorably),2010-06-10,Roll Call, 95/0,2010-12-18,2010-12-28,,,,Goucher College,B.A.,1971-01-01,Georgetown University Law Center,J.D.,1974-01-01,,,,,,,,,,1949-09-30,1677-09-30,Ellen Lipton Hollander,44,IL,4,D. Md.,04 - MD,MD,,,,,,,04-MD-04,,,241 days 00:00:00.000000000,,,60.557027180571815,60.557027180571815
Xinis,Paula, , ,9,30,1968,Mineola,NY,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,Barack Obama,Democratic,Well Qualified,,2015-03-26,2015-03-26,2015-07-22,Reported (favorably),2015-09-17,Roll Call, 53/34,2016-05-16,2016-05-18,,,,University of Virginia,B.A.,1991-01-01,Yale Law School,J.D.,1997-01-01,,,,,,,,,,1968-09-30,1677-09-30,Paula Xinis,44,IL,4,D. Md.,04 - MD,MD,,,,,,,04-MD-05,,,417 days 00:00:00.000000000,,,46.48418516465088,46.48418516465088
Grimm,Paul,William, ,9,30,1951,Yokohama,Japan,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,Barack Obama,Democratic,Well Qualified,,2012-02-16,2012-02-16,2012-05-09,Reported (favorably),2012-06-07,Roll Call, 92/1,2012-12-03,2012-12-06,,,,"University of California, Davis",B.A.,1973-01-01,University of New Mexico School of Law,J.D.,1976-01-01,,,,,,,,,,1951-09-30,1677-09-30,Paul William Grimm,44,IL,4,D. Md.,04 - MD,MD,,,,,,,04-MD-06,,,291 days 00:00:00.000000000,,,60.38180113212455,60.38180113212455
Hazel,George,Jarrod, ,9,30,1975,New York,NY,9,30,1677, , ,Male,AfriAmerican,U.S. District Court,U.S. District Court for the District of Maryland,Judge,Barack Obama,Democratic,Qualified,,2014-01-06,2014-01-06,,Reported (favorably),2014-01-16,Roll Call, 95/0,2014-05-01,2014-05-02,,,,Morehouse College,B.A.,1996-01-01,Georgetown University Law Center,J.D.,1999-01-01,,,,,,,,,,1975-09-30,1677-09-30,George Jarrod Hazel,44,IL,4,D. Md.,04 - MD,MD,,,,,,,04-MD-08,"['Nominated to U.S. District Court for the District of Maryland, September 25, 2013']",[],115 days 00:00:00.000000000,,,38.27046414368536,38.27046414368536
Russell,George,Levi,III,9,30,1965,Baltimore,MD,9,30,1677, , ,Male,AfriAmerican,U.S. District Court,U.S. District Court for the District of Maryland,Judge,Barack Obama,Democratic,Qualified,,2011-11-10,2011-11-10,2012-01-26,Reported (favorably),2012-02-16,Voice,  ,2012-05-14,2012-05-22,,,,Morehouse College,B.A.,1988-01-01,University of Maryland School of Law,J.D.,1991-01-01,,,,,,,,,,1965-09-30,1677-09-30,"George Levi Russell, III",44,IL,4,D. Md.,04 - MD,MD,,,,,,,04-MD-09,,,186 days 00:00:00.000000000,,,46.111829811700446,46.111829811700446
Bredar,James,Kelleher, ,9,30,1957,Omaha,NE,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,Barack Obama,Democratic,Well Qualified,,2010-04-21,2010-04-21,2010-05-13,Reported (favorably),2010-06-10,Voice,  ,2010-12-16,2010-12-17,,,,Harvard University,B.A.,1979-01-01,Georgetown University Law Center,J.D.,1982-01-01,,,,,,,,,,1957-09-30,1677-09-30,James Kelleher Bredar,44,IL,4,D. Md.,04 - MD,MD,,,,,,,04-MD-11,,,239 days 00:00:00.000000000,,,52.556862906151395,52.556862906151395
Norton,David,C., ,9,30,1946,Washington,DC,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,George H.W. Bush,Republican,Well Qualified,,1990-04-18,1990-04-19,1990-06-11,Reported (favorably),1990-06-27,Voice,  ,1990-06-28,1990-07-12,,,,University of the South,B.A.,1968-01-01,University of South Carolina School of Law,J.D.,1975-01-01,,,,,,,,,,1946-09-30,1677-09-30,David C. Norton,41,TX,4,D.S.C.,04 - SC,SC,,,,,,,04-SC-05,,,71 days 00:00:00.000000000,,,43.5491488531592,43.5491488531592
Herlong,Henry,Michael,Jr.,9,30,1944,Washington,DC,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,George H.W. Bush,Republican,Well Qualified,,1991-04-09,1991-04-09,1991-04-24,Reported (favorably),1991-05-09,Voice,  ,1991-05-09,1991-05-14,2009-06-01,,,Clemson University,B.A.,1967-01-01,University of South Carolina School of Law,J.D.,1970-01-01,,,,,,,,,,1944-09-30,1677-09-30,"Henry Michael Herlong, Jr.",41,TX,4,D.S.C.,04 - SC,SC,,,,,2009-06-01,3687 days 01:27:23.045008000,04-SC-10,,,30 days 00:00:00.000000000,6593 days 00:00:00.000000000,,46.52251586274872,46.52251586274872
Harwell,Robert,Bryan, ,9,30,1959,Florence,SC,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,George W. Bush,Republican,Qualified,,2004-01-20,2004-01-20,2004-04-08,Reported (favorably),2004-04-29,Voice,  ,2004-06-24,2004-06-30,,,,Clemson University,B.A.,1980-01-01,University of South Carolina School of Law,J.D.,1982-01-01,,,,,,,,,,1959-09-30,1677-09-30,Robert Bryan Harwell,43,TX,4,D.S.C.,04 - SC,SC,,,,,,,04-SC-09,,,156 days 00:00:00.000000000,,,44.307549094095016,44.307549094095016
Wooten,Terry,L., ,9,30,1954,Louisville,KY,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,George W. Bush,Republican,Well Qualified,,2001-09-04,2001-09-04,2001-08-27,Reported (favorably),2001-11-08,Roll Call, 98/0,2001-11-08,2001-11-26,2019-02-28,,,University of South Carolina,B.A.,1976-01-01,University of South Carolina School of Law,J.D.,1980-01-01,,,,,,,,,,1954-09-30,1677-09-30,Terry L. Wooten,43,TX,4,D.S.C.,04 - SC,SC,,,,,2019-02-28,128 days 01:27:23.045008000,04-SC-11,"['Nominated to U.S. District Court for the District of South Carolina, June 18, 2001']",[],65 days 00:00:00.000000000,6303 days 00:00:00.000000000,,46.93046400679001,46.93046400679001
Anderson,Joseph,Fletcher,Jr.,9,30,1949,Augusta,GA,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Ronald Reagan,Republican,Qualified,,1986-09-26,1986-09-26,1986-10-01,Reported (favorably),1986-10-02,Voice,  ,1986-10-08,1986-10-14,2014-11-16,,,Clemson University,B.A.,1972-01-01,University of South Carolina School of Law,J.D.,1975-01-01,,,,,,,,,,1949-09-30,1677-09-30,"Joseph Fletcher Anderson, Jr.",40,CA,4,D.S.C.,04 - SC,SC,,,,,2014-11-16,1693 days 01:27:23.045008000,04-SC-04,,,12 days 00:00:00.000000000,10260 days 00:00:00.000000000,,36.98912366441474,36.98912366441474
Seymour,Margaret,B., ,9,30,1947,Washington,DC,9,30,1677, , ,Female,AfriAmerican,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,William J. Clinton,Democratic,Well Qualified,,1998-09-09,1998-09-09,1998-10-01,Reported (favorably),1998-10-08,Voice,  ,1998-10-21,1998-10-22,2013-01-16,,,Howard University,B.A.,1969-01-01,"AmeriUniversity, Washington College of Law",J.D.,1977-01-01,,,,,,,,,,1947-09-30,1677-09-30,Margaret B. Seymour,42,AK,4,D.S.C.,04 - SC,SC,,,,,2013-01-16,2362 days 01:27:23.045008000,04-SC-06,,,42 days 00:00:00.000000000,5200 days 00:00:00.000000000,,50.94423567903516,50.94423567903516
Currie,Cameron,McGowan, ,9,30,1948,Florence,SC,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,William J. Clinton,Democratic,Well Qualified,,1994-01-27,1994-01-27,1994-03-03,Reported (favorably),1994-03-09,Voice,  ,1994-03-10,1994-03-11,2013-10-03,,,University of South Carolina,B.A.,1970-01-01,George Washington University Law School,J.D.,1975-01-01,,,,,,,,,,1948-09-30,1677-09-30,Cameron McGowan Currie,42,AK,4,D.S.C.,04 - SC,SC,,,,,2013-10-03,2102 days 01:27:23.045008000,04-SC-08,,,42 days 00:00:00.000000000,7146 days 00:00:00.000000000,,45.32605050069474,45.32605050069474
Childs,Julianna,Michelle, ,9,30,1966,Detroit,MI,9,30,1677, , ,Female,AfriAmerican,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Barack Obama,Democratic,Well Qualified,,2009-12-22,2009-12-22,2010-04-16,Reported (favorably),2010-05-06,Voice,  ,2010-08-05,2010-08-20,,,,University of South Florida,B.S.,1988-01-01,University of South Carolina School of Law,J.D.,1991-01-01,University of South Carolina School of Business,M.A.,1991-01-01,,,,,,,1966-09-30,1677-09-30,Julianna Michelle Childs,44,IL,4,D.S.C.,04 - SC,SC,,,,,,,04-SC-02,,,226 days 00:00:00.000000000,,,43.228813733341546,43.228813733341546
Lewis,Mary,Geiger, ,9,30,1958,Columbia,SC,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Barack Obama,Democratic,Qualified,,2011-03-16,2011-03-16,2012-02-15,Reported (favorably),2012-03-08,Roll Call, 64/27,2012-06-18,2012-06-20,,,,Clemson University,B.A.,1980-01-01,University of South Carolina School of Law,J.D.,1984-01-01,,,,,,,,,,1958-09-30,1677-09-30,Mary Geiger Lewis,44,IL,4,D.S.C.,04 - SC,SC,,,,,,,04-SC-03,,,460 days 00:00:00.000000000,,,52.458298253899805,52.458298253899805
Hendricks,Bruce,Howe, ,9,30,1957,Charleston,SC,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Barack Obama,Democratic,Well Qualified,,2014-01-06,2014-01-06,2014-02-11,Reported (favorably),2014-03-06,Roll Call, 95/0,2014-06-04,2014-06-05,,,,College of Charleston,B.A.,1983-01-01,University of South Carolina School of Law,J.D.,1990-01-01,,,,,,,,,,1957-09-30,1677-09-30,Bruce Howe Hendricks,44,IL,4,D.S.C.,04 - SC,SC,,,,,,,04-SC-06,"['Nominated to U.S. District Court for the District of South Carolina, June 26, 2013']",[],149 days 00:00:00.000000000,,,56.269464807627806,56.269464807627806
Cain,Timothy,Martin, ,9,30,1961,Seneca,SC,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Barack Obama,Democratic,Qualified,,2011-02-16,2011-02-16,2011-05-04,Reported (favorably),2011-05-26,Roll Call, 99/0,2011-09-20,2011-09-26,,,,University of South Carolina,B.S.,1983-01-01,University of South Carolina School of Law,J.D.,1986-01-01,,,,,,,,,,1961-09-30,1677-09-30,Timothy Martin Cain,44,IL,4,D.S.C.,04 - SC,SC,,,,,,,04-SC-07,,,216 days 00:00:00.000000000,,,49.38089077804472,49.38089077804472
Gergel,Richard,Mark, ,9,30,1954,Columbia,SC,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Barack Obama,Democratic,Well Qualified,,2009-12-22,2009-12-22,2010-04-16,Reported (favorably),2010-05-06,Voice,  ,2010-08-05,2010-08-09,,,,Duke University,B.A.,1975-01-01,Duke University School of Law,J.D.,1979-01-01,,,,,,,,,,1954-09-30,1677-09-30,Richard Mark Gergel,44,IL,4,D.S.C.,04 - SC,SC,,,,,,,04-SC-10,,,226 days 00:00:00.000000000,,,55.22906014497217,55.22906014497217
Coggins,Donald,Cecil,Jr.,9,30,1959,Spartanburg,SC,9,30,1677,,,Male,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Donald J. Trump,Republican,Well Qualified,,2017-08-03,2017-08-03,,Reported (favorably),2017-09-14,Roll Call, 96/0,2017-11-16,2017-11-20,,,,Clemson University,B.A.,1981-01-01,University of South Carolina School of Law,J.D.,1984-01-01,,,,,,,,,,1959-09-30,1677-09-30,"Donald Cecil Coggins, Jr.",45,NY,4,D.S.C.,04 - SC,SC,,,,,,,04-SC-04,"['Nominated to U.S. District Court for the District of South Carolina, February 25, 2016']",[],105 days 00:00:00.000000000,,,57.8437613366462,57.8437613366462
