Court_Code,Vacancy_Created_By,Vacancy_Reason,Vacancy_Date,Days_Pending_AT_SCRAPE,Weighted_Filings_Per_Seat,Adjusted_Filings_Per_Panel,First_Name,Middle_Name,Last_Name,Suffix
09 - CA-S,Barry Ted Moskowitz,Senior,2019-01-23,163,651,0,Barry,Ted,Moskowitz,
09 - CA-S,Roger T. Benitez,Senior,2017-12-31,551,651,0,Roger,T.,Benitez,
09 - CA-S,John A. Houston,Senior,2018-02-06,514,651,0,John,A.,Houston,
09 - CA-S,Michael M. Anello,Senior,2018-10-31,247,651,0,Michael,M.,Anello,
09 - NV,Robert Clive Jones,Senior,2016-02-01,1250,497,0,Robert,Clive,Jones,
09 - OR,Anna J. Brown,Senior,2017-07-27,708,463,0,Anna,J.,Brown,
09 - WA-W,Ronald B. Leighton,Senior,2019-02-28,127,485,0,Ronald,B.,Leighton,
09 - WA-W,James L. Robart,Senior,2016-06-28,1102,485,0,James,L.,Robart,
09 - WA-W,Robert S. Lasnik,Senior,2016-01-27,1255,485,0,Robert,S.,Lasnik,
09 - WA-W,Marsha J. Pechman,Senior,2016-02-06,1245,485,0,Marsha,J.,Pechman,
09 - CCA,Alex Kozinski,Retired,2017-12-18,564,0,723,Alex,,Kozinski,
09 - CCA,Diarmuid F. O,Senior,2016-12-31,916,0,723,Diarmuid,F.,O,
10 - NM,M. Christina Armijo,Senior,2018-02-07,513,536,0,M.,Christina,Armijo,
10 - NM,Robert Brack,Senior,2018-07-25,345,536,0,Robert,,Brack,
10 - NM,Judith C. Herrera,Senior,2019-07-01,4,536,0,Judith,C.,Herrera,
10 - OK-E,James H. Payne,Senior,2017-08-01,703,345,0,James,H.,Payne,
11 - FL-M,John E. Steele,Senior,2015-06-03,1493,637,0,John,E.,Steele,
11 - FL-M,Elizabeth A. Kovachevich,Senior,2018-12-14,203,637,0,Elizabeth,A.,Kovachevich,
11 - FL-N,Richard Smoak,Senior,2015-12-31,1282,764,0,Richard,,Smoak,
11 - FL-S,James I. Cohn,Senior,2016-08-05,1064,764,0,James,I.,Cohn,
11 - FL-S,Kenneth A. Marra,Senior,2017-08-01,703,764,0,Kenneth,A.,Marra,
11 - GA-N,Richard W. Story,Senior,2018-12-01,216,635,0,Richard,W.,Story,
